"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"C20","1mF","TopLayer","C_0805","38.3000","12.0000","360",""
"C19","1mF","TopLayer","C_0805","36.4000","4.0000","180",""
"XP1","PBS-5","TopLayer","PBS-5","47.7500","35.9600","90",""
"IC5","W25X40CLSNIG","TopLayer","SOIC127P600X175-8N","36.5000","7.7500","360","Integrated Circuit"
"X1","USB Type C, 3A","TopLayer","CON:_TYPE-C-31-M-12","11.5000","44.8875","0",""
"Y1","S3D8.000000B20F30T","TopLayer","S3D8000000B20F30T","37.5000","24.5000","0","Crystal or Oscillator"
"XP2","PBS-5","TopLayer","PBS-5","25.0000","37.5000","180",""
"VT1","IRLML5203TRPBF","TopLayer","SOT23","8.5000","27.5000","270","??????????, P-????? 30? 3A logic"
"S3","TS-1088R-02026","TopLayer","TS1088R02026","10.1000","5.2000","270","Switch"
"S2","TS-1088R-02026","TopLayer","TS1088R02026","41.2500","46.2500","90","Switch"
"S1","TS-1088R-02026","TopLayer","TS1088R02026","35.2500","46.2500","270","Switch"
"R21","10 kOm","TopLayer","R_0805","17.1000","27.4000","360",""
"R20","10 kOm","TopLayer","R_0805","27.1000","4.0000","180",""
"R19","10 kOm","TopLayer","R_0805","19.0000","17.0000","90",""
"R18","10 kOm","TopLayer","R_0805","21.5000","17.0000","90",""
"R17","10 kOm","TopLayer","R_0805","27.5000","33.0000","90",""
"R16","10 kOm","TopLayer","R_0805","31.4000","33.0000","90",""
"R15","10 kOm","TopLayer","R_0805","24.0000","17.0000","90",""
"R14","10 kOm","TopLayer","R_0805","8.5000","33.5000","360",""
"R13","100 kOm","TopLayer","R_0805","8.5000","31.2500","180",""
"R12","1 ?Om","TopLayer","R_0805","11.0000","22.0000","90",""
"R11","1 ?Om","TopLayer","R_0805","8.5000","22.0000","90",""
"R10","30 kOm","TopLayer","R_0805","47.2000","25.0000","180",""
"R9","110 kOm","TopLayer","R_0805","47.1919","22.5000","0",""
"R8","100 Om","TopLayer","R_0805","47.2000","20.0000","180",""
"R7","1 ?Om","TopLayer","R_0805","4.0000","17.5000","360",""
"R6","2 kOm","TopLayer","R_0805","29.7500","42.7500","90",""
"R5","10 kOm","TopLayer","R_0805","41.5000","38.2500","90",""
"R4","100 kOm","TopLayer","R_0805","39.5000","38.2500","270",""
"R3","2 kOm","TopLayer","R_0805","3.1005","12.2504","270",""
"R2","2 kOm","TopLayer","R_0805","6.5005","12.2504","270",""
"R1","10 kOm","TopLayer","R_0805","34.2500","38.2500","90",""
"Q1","IRLML2502TRPBF","TopLayer","SOT95P237X112-3N","42.2000","22.5000","0","MOSFET (N-Channel)"
"PS1","XC6206P182MR","TopLayer","SOT95P280X130-3N","23.0000","45.2500","90","Power Supply"
"LED3","150080GS75000","TopLayer","LEDM2012X80N","29.7500","47.0000","270","LED"
"LED5","150080GS75000","TopLayer","LEDM2012X80N","11.0000","18.2500","270","LED"
"LED4","150080GS75000","TopLayer","LEDM2012X80N","8.5000","18.2500","270","LED"
"LED2","150080GS75000","TopLayer","LEDM2012X80N","3.1000","8.2000","90","LED"
"LED1","150080GS75000","TopLayer","LEDM2012X80N","6.5000","8.2000","90","LED"
"J1","B2B-PH-K-S_LF__SN_","BottomLayer","SHDR2W50P0X200_1X2_590X450X600P","7.2500","38.2500","90","Connector"
"IC6","LM75AD,118","TopLayer","SOIC127P600X175-8N","27.0000","7.7500","360","Integrated Circuit"
"IC3","MOD-BME280","TopLayer","MODBME280","47.1750","12.2250","90","Integrated Circuit"
"IC4","DH11","TopLayer","HDRV4W80P0X254_1X4_1200X500X1550P","3.0000","33.1900","90","Integrated Circuit"
"IC2","24LC32A-I_SN","TopLayer","SOIC127P600X175-8N","16.7500","7.7500","360","Integrated Circuit"
"IC1","TP4056A","TopLayer","SOIC127P600X175-9N","3.5950","22.5380","90","Integrated Circuit"
"DD1","STM32f103c8t6","TopLayer","LQFP48","25.0000","25.0000","180",""
"DA1","USBLC6-2SC6","TopLayer","SOT-23-6","12.2500","34.2658","270",""
"C18","22 uF","TopLayer","C_0805","28.7500","11.4000","360",""
"C17","0.1 uF","TopLayer","C_0805","47.2500","8.7500","180",""
"C15","1 uF","TopLayer","C_0805","47.2500","6.5000","180",""
"C16","1mF","TopLayer","C_0805","18.4500","11.4000","360",""
"C14","0.1 uF","TopLayer","C_0805","37.5000","20.5000","360",""
"C13","10 uF","TopLayer","C_0805","19.5000","45.2500","270",""
"C12","10 uF","TopLayer","C_0805","26.5000","45.2500","90",""
"C11","0.1 uF","TopLayer","C_0805","29.0000","17.0000","90",""
"C10","0.1 uF","TopLayer","C_0805","23.9000","33.0000","270",""
"C9","0.1 uF","TopLayer","C_0805","33.0000","26.2500","180",""
"C8","10 uF","TopLayer","C_0805","2.8000","42.3000","180",""
"C7","0.1 uF","TopLayer","C_0805","33.0000","22.2500","180",""
"C6","1 uF","TopLayer","C_0805","47.2000","17.5000","180",""
"C5","10 uF","TopLayer","C_0805","17.2500","22.2500","0",""
"C4","0.1 uF","TopLayer","C_0805","26.5000","17.0000","90",""
"C3","10 uF","TopLayer","C_0805","20.4000","33.1000","270",""
"C2","0.1 uF","TopLayer","C_0805","43.5000","38.2500","90",""
"C1","0.1 uF","TopLayer","C_0805","36.2500","38.2500","270",""
